smiles,ox
[Li]OC(=O)c1ccc(c(c1)N)C(=O)O[Li],5.119180544
[Li]OC(=O)c1ccc(c(c1)N(=O)=O)C(=O)O[Li],6.308322615
[Li]OC(=O)c1sc(c(c1)N)C(=O)O[Li],5.098088906
[Li]ON(c1cc(sc1C(=O)O)C(=O)O[Li])O,6.263717879
[Li]OC(=O)c1sc2c(c1N)sc(c2N)C(=O)O[Li],4.926596486
[Li]ON(c1c(sc2c1sc(c2N(=O)=O)C(=O)O[Li])C(=O)O)O,6.33895359
[Li]OC(=O)c1cc2c(s1)cc(s2)C(=O)O[Li],5.780609404
[Li]OC(=O)c1cc2c(s1)c(N(=O)=O)c1c(c2N(=O)=O)sc(c1)C(=O)O[Li],6.214530008
[Li]OC(=O)C1=CC=C(C1)C(=O)O[Li],5.721946388
[Li]OC(=O)c1nnnc(c1)C(=O)O[Li],6.564037937
[Li]OC(=O)c1nnc(nn1)C(=O)O[Li],6.173439733
OC(=O)C1=CC=C(C1)C(=O)O,6.36276215
OC(=O)c1nnnc(c1)C(=O)O,7.250854163
OC(=O)c1nnc(nn1)C(=O)O,7.081610357
[Li]OC(=O)c1ncnc(n1)C(=O)O[Li],6.847835233
OC(=O)c1ncnc(n1)C(=O)O,7.484645124
CC(CON=C)N,5.55427336
N#CCCN(C)C,5.086294533
CCC1OC1CO,6.74948703
CC(C1(C)CC1)C,6.024404664
CC1CCC(=N)N1,5.69890353
C=CC(C=C)(O)C,6.321247296
CCCCC(C)C,7.01806635
CC=CC(CN)O,5.413564844
CC=NNCCO,5.192059884
NCCCCN,5.842044147
C=CC1(N)CNC1,4.273865968
OCCCOCC,6.419195764
CC(C1CC1)N,5.688554599
N=CNC1CCC1,5.695351163
CC(C1CN1)OC,6.132568673
CCNCC(=O)N,5.388352747
OCCC(C)C,6.808321723
CNC(C#C)CN,5.036441888
CC(C#C)CC=C,6.63363248
OC(=O)C(C)(C)C,7.174005169
CC(=NN)CCC,5.275998645
NCCC1CC1O,5.669154884
C=CCCC1CO1,6.608977129
C1CC2C(C1)CO2,6.278099866
O1CC2CC(C1)C2,6.412307116
COCOCC=C,6.659630225
CCN=CNC=C,5.34243623
CCCCNC=N,5.911402713
CCC=NN(C)C,4.996808456
NC1CCC1CO,4.939705851
C1CC2OC1CC2,6.753469391
CCCC1CC1,6.322760005
CCC(CC)N,5.653049953
CC1=NCCCN1,5.38305398
CC1C2C1CNC2,5.124329948
COC1CC1(C)N,4.352498397
CC1C=COC1C,5.449972935
C=COCC(C)C,5.923805342
NC1CCOCC1,5.644939024
CC(C1OC1)(N)C,5.805287695
CCC1C=CC=C1,5.619339246
CC=CC1NC1C,5.55651626
CC1CCC(=C1)C,5.741683742
C=CC1(C)COC1,5.463731645
CC1NC1CCN,5.768733724
COC1CC(C1)C,6.008159213
CCC1CN1C,5.641075468
CCOC1(C)CC1,5.412028053
CC(C(N)(C)C)N,4.846138146
ONC(=N)C(C)C,5.637285328
CNC(C(N)C)C,5.000392878
CCCCCC,7.220916562
CC(C(=N)N)CC,5.875995593
NCC1C(N1C)C,5.481347325
CNC1CC1(C)O,4.285443357
OCC1(O)CCC1,5.64912626
CCN1C(C1C)C,5.46175792
CC(NCC#C)C,5.444094456
NC1C(C)NC1C,4.394214616
CCCC=CC=C,5.740652348
NCC1NC1CO,5.887250663
OCCCCC#C,6.931114961
NCCOCC=C,5.754584149
NC1CC(C1C)O,4.922009978
CC#CC(C)(C)C,6.599469411
OCC(C=C)CO,6.344969269
CC=CC1CCN1,5.440396617
CNC(C(N)C)C,5.000392878
CN(C=O)NCC,5.188237771
CCC(CC)N,5.653049953
CC(C1CC1)(N)C,5.688391004
O=CCC(C=C)C,6.414109491
COCC=NNC,5.414574849
NCC(C1CN1)O,6.038641015
CC(OC(C)C)C,6.442194458
CNCC=COC,5.132461558
CCNCCC,5.186238223
CC(C)(C)C,7.189869824
CC=CCC(N)C,5.532555507
CC(CCN)O,5.595907755
CCC1CC1N,4.77187633
CN=CN(CC)O,5.188629207
C=CCC(C=C)C,6.395361897
NC1CC1CC=C,4.860856492
CC1=CCCC1C,5.733345869
CC1C2CCC1C2,6.256172539
CCC(=N)N(C)C,5.421302922
COC(C(=O)C)C,6.092912765
CCCN(C)C,4.825059542
CCC=CNC=N,5.295160967
C=CCC(C=C)N,4.503931906
CCCC1(O)CC1,5.588675482
